timestamp,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,aperture,gripper_vel,contact_force
1719878545.4554923,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,14.951130642550542,5.637642785439314,0.031135243388429754
1719878545.6023178,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,14.722845221961222,1.5548071674200632,0.9397552351999998
1719878545.7644653,0.0,-0.000115,-3.8e-05,7.2e-05,-7.2e-05,0.000144,14.26693863735181,2.8116777799804673,3.226252913719009
1719878545.8644652,0.0,0.0,-0.0,0.0,0.0,0.0,14.26693863735181,0.0,3.226252913719009
1719878545.9644651,-0.022524,0.008028,-0.082515,0.075429,-0.033172,-0.037319,14.26693863735181,0.0,3.226252913719009
1719878546.064465,-0.059493,0.024697,-0.21399,0.183431,0.048057,-0.060544,14.26693863735181,0.0,3.226252913719009
1719878546.164465,-0.09255,0.048934,-0.336172,0.283163,0.016179,-0.097935,14.26693863735181,0.0,3.226252913719009
1719878546.2644649,-0.094992,0.062868,-0.347971,0.298527,0.064859,-0.099469,14.26693863735181,0.0,3.226252913719009
1719878546.3644648,-0.057026,0.03996,-0.217467,0.185732,0.060233,-0.05774,14.26693863735181,0.0,3.226252913719009
1719878546.4644647,-0.022396,0.020312,-0.096091,0.076292,0.02591,-0.024112,14.26693863735181,0.0,3.226252913719009
1719878546.5644646,0.002889,-0.002812,0.003247,-0.005177,0.002445,0.0,14.26693863735181,0.0,3.226252913719009
1719878546.6644645,0.0,0.0,0.000371,-0.000575,-0.000671,0.000671,14.26693863735181,0.0,3.226252913719009
1719878546.7644644,0.0,0.0,0.000805,-0.000312,-0.000551,0.000336,14.26693863735181,0.0,3.226252913719009
1719878546.8644643,0.0,0.0,0.000294,-0.000192,-0.000288,-4.8e-05,14.26693863735181,0.0,3.226252913719009
1719878546.9644642,0.0,0.0,0.000166,-0.000144,-0.000192,-4.8e-05,14.26693863735181,0.0,3.226252913719009
1719878547.064464,0.0,8.9e-05,0.000115,-0.00012,-0.000144,-4.8e-05,14.26693863735181,0.0,3.226252913719009
1719878547.164464,0.0,8.9e-05,8.9e-05,-9.6e-05,-0.00012,-4.8e-05,14.26693863735181,0.0,3.226252913719009
1719878547.264464,0.0,8.9e-05,6.4e-05,-7.2e-05,-9.6e-05,-4.8e-05,14.26693863735181,0.0,3.226252913719009
1719878547.3644638,0.0,8.9e-05,5.1e-05,-7.2e-05,-7.2e-05,-4.8e-05,14.26693863735181,0.0,3.226252913719009
